[60.0, 970.6666666666666, 1.9166666666666667, 1.1736111111111112, 17.333333333333332, 46.22222222222222, 3.0]
[8.0, 0.0, 0.6666666666666666, 0.0, 10.0, 4.0, 2.0]
[35.0, 347.0, 1.0, 0.16666666666666666, 13.0, 11.0, 4.0]
[16.0, 0.0, 0.8, 0.0, 18.0, 4.0, 2.0]
[8.0, 0.0, 0.6666666666666666, 0.0, 10.0, 4.0, 2.0]
[36.0, 400.0, 0.6666666666666666, 0.0, 20.0, 16.0, 2.0]
[70.0, 1732.0, 1.2301587301587302, 0.8519778281683044, 20.0, 56.0, 4.0]
[16.0, 0.0, 0.9333333333333332, 0.008888888888888885, 19.0, 3.0, 4.0]
[20.0, 0.0, 1.0, 0.07777777777777779, 20.666666666666668, 12.888888888888888, 6.0]
[74.66666666666667, 1550.222222222222, 1.02, 0.16771111111111112, 14.666666666666666, 8.888888888888888, 6.0]
[42.0, 484.0, 1.216190476190476, 0.33869931972789125, 21.333333333333332, 24.888888888888886, 6.0]
[22.666666666666668, 222.22222222222217, 0.96, 0.006399999999999998, 19.333333333333332, 2.2222222222222228, 6.0]
[22.666666666666668, 227.55555555555557, 0.9166666666666666, 0.3402777777777778, 14.666666666666666, 46.22222222222223, 3.0]
[32.0, 768.0, 1.2, 0.45999999999999996, 10.666666666666666, 14.222222222222223, 6.0]
[46.4, 1047.0400000000002, 1.4333333333333333, 0.9716666666666666, 14.4, 42.24, 5.0]
[97.33333333333333, 2659.555555555555, 0.9428571428571428, 0.013061224489795917, 26.666666666666668, 8.888888888888886, 6.0]
[67.33333333333333, 1063.5555555555554, 1.119047619047619, 0.2566893424036282, 16.666666666666668, 44.88888888888889, 6.0]
[36.0, 80.0, 1.4333333333333333, 1.04, 16.0, 42.666666666666664, 6.0]
[8.0, 0.0, 0.3333333333333333, 0.0, 16.0, 64.0, 2.0]
[42.666666666666664, 142.2222222222222, 0.9142857142857143, 0.029387755102040825, 24.0, 32.0, 6.0]
[67.33333333333333, 2204.8888888888887, 1.0428571428571427, 0.33336734693877557, 22.0, 36.0, 6.0]
[16.0, 0.0, 0.8380952380952381, 0.014331065759637185, 23.0, 27.0, 4.0]
[32.0, 288.0, 0.7261904761904763, 0.19401927437641728, 20.0, 74.66666666666667, 3.0]
[100.0, 4965.333333333333, 1.180952380952381, 0.35954648526077104, 23.333333333333332, 44.88888888888889, 6.0]
[26.666666666666668, 696.8888888888888, 0.6428571428571428, 0.1275510204081633, 21.333333333333332, 88.88888888888887, 3.0]
[43.333333333333336, 1426.222222222222, 0.9614285714285714, 0.23420498866213152, 20.0, 42.666666666666664, 6.0]
